"","len","freq","err","condition","pred"
"177","3","0.307","0.022","X[,3]>2.45 & X[,4]>1.65 & X[,4]>1.75","virginica"
"178","3","0.3","0","X[,3]>2.45 & X[,3]<=4.85 & X[,4]<=1.6","versicolor"
"179","4","0.02","0","X[,2]<=3.1 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.6","virginica"
"180","4","0.007","0","X[,2]>3.1 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.6","versicolor"
"181","4","0.047","0.429","X[,3]>2.45 & X[,3]>4.85 & X[,4]<=1.75 & X[,4]<=1.65","virginica"
"182","4","0.007","0","X[,3]>2.45 & X[,3]>4.85 & X[,4]<=1.75 & X[,4]>1.65","versicolor"
"183","3","0.293","0","X[,3]>2.35 & X[,3]<=4.75 & X[,4]<=1.65","versicolor"
"184","3","0.007","0","X[,3]>2.35 & X[,3]<=4.75 & X[,4]>1.65","virginica"
"185","4","0.047","0.286","X[,2]<=3.05 & X[,3]>2.35 & X[,3]>4.75 & X[,3]<=4.95","virginica"
"186","4","0.013","0","X[,2]>3.05 & X[,3]>2.35 & X[,3]>4.75 & X[,3]<=4.95","versicolor"
"187","3","0.307","0.043","X[,3]>2.35 & X[,3]>4.75 & X[,3]>4.95","virginica"
"188","4","0.313","0","X[,3]<=4.95 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.65","versicolor"
"189","4","0.007","0","X[,3]<=4.95 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.65","virginica"
"190","4","0.027","0.25","X[,2]<=2.9 & X[,3]>4.95 & X[,4]>0.8 & X[,4]<=1.75","virginica"
"191","4","0.013","0.5","X[,2]>2.9 & X[,3]>4.95 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"192","4","0.027","0.25","X[,2]<=2.25 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"193","5","0.293","0","X[,2]>2.25 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.65","versicolor"
"194","6","0.007","0","X[,2]>2.25 & X[,2]<=2.75 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.65","virginica"
"195","6","0.007","0","X[,2]>2.25 & X[,2]>2.75 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.65","versicolor"
"196","4","0.013","0","X[,2]<=3 & X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.75","virginica"
"197","4","0.007","0","X[,2]>3 & X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.75","versicolor"
"198","3","0.313","0.043","X[,3]>2.45 & X[,3]<=5.25 & X[,4]<=1.55","versicolor"
"199","3","0.007","0","X[,3]>2.45 & X[,3]>5.25 & X[,4]<=1.55","virginica"
"200","4","0.02","0","X[,2]<=3.1 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.55","virginica"
"201","4","0.02","0","X[,2]>3.1 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.55","versicolor"
