,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
8893,2.0,14.0,12.0,12.0
8894,3.0,8.0,5.0,5.0
8895,1.0,10.0,9.0,9.0
8896,4.0,11.0,7.0,7.0
8897,2.0,7.0,5.0,5.0
8898,1.0,10.0,9.0,9.0
8899,2.0,10.0,8.0,8.0
8900,1.0,12.0,11.0,11.0
8901,22.0,6.0,-16.0,16.0
8902,3.0,9.0,6.0,6.0
8903,23.0,8.0,-15.0,15.0
8904,7.0,13.0,6.0,6.0
8905,4.0,10.0,6.0,6.0
8906,24.0,10.0,-14.0,14.0
8907,23.0,10.0,-13.0,13.0
8908,24.0,13.0,-11.0,11.0
8909,24.0,11.0,-13.0,13.0
8910,1.0,6.0,5.0,5.0
8911,1.0,9.0,8.0,8.0
8912,23.0,7.0,-16.0,16.0
8913,1.0,10.0,9.0,9.0
8914,24.0,9.0,-15.0,15.0
8915,24.0,9.0,-15.0,15.0
8916,24.0,10.0,-14.0,14.0
8917,1.0,12.0,11.0,11.0
8918,2.0,10.0,8.0,8.0
8919,24.0,9.0,-15.0,15.0
8920,24.0,10.0,-14.0,14.0
8921,1.0,7.0,6.0,6.0
8922,2.0,12.0,10.0,10.0
8923,3.0,10.0,7.0,7.0
8924,1.0,8.0,7.0,7.0
8925,3.0,11.0,8.0,8.0
8926,2.0,12.0,10.0,10.0
8927,1.0,11.0,10.0,10.0
8928,2.0,10.0,8.0,8.0
8929,22.0,5.0,-17.0,17.0
8930,1.0,8.0,7.0,7.0
8931,1.0,8.0,7.0,7.0
8932,2.0,11.0,9.0,9.0
8933,1.0,10.0,9.0,9.0
8934,2.0,19.0,17.0,17.0
8935,4.0,14.0,10.0,10.0
8936,2.0,10.0,8.0,8.0
8937,1.0,11.0,10.0,10.0
8938,23.0,8.0,-15.0,15.0
8939,1.0,11.0,10.0,10.0
8940,13.0,9.0,-4.0,4.0
8941,7.0,13.0,6.0,6.0
8942,23.0,10.0,-13.0,13.0
8943,8.0,24.0,16.0,16.0
8946,2.0,10.0,8.0,8.0
8947,5.0,11.0,6.0,6.0
8948,22.0,11.0,-11.0,11.0
8949,24.0,7.0,-17.0,17.0
8950,2.0,10.0,8.0,8.0
8955,23.0,10.0,-13.0,13.0
8974,2.0,8.0,6.0,6.0
8983,22.0,6.0,-16.0,16.0
8984,1.0,10.0,9.0,9.0
8985,24.0,6.0,-18.0,18.0
8986,1.0,9.0,8.0,8.0
8987,3.0,12.0,9.0,9.0
