,Variables,Euclidean distance
52,F_VEG_1,1.8299285173416138
570,INT_WK_MM_8,1.8334848880767822
437,TC_HTP_MN_2,1.8339709043502808
415,TC_DAYS_5,1.8371186256408691
107,PA_TOT_1,1.8408520221710205
563,INT_WD_MM_5,1.8414939641952515
30,F_CAFFEINE_1,1.841891884803772
695,SleepAvg_WK_19,1.844227910041809
569,INT_WK_MM_5,1.8443127870559692
595,E_RES_3,1.8475565910339355
451,TC_FAGE_4,1.8475682735443115
590,E_SES_4,1.8495514392852783
592,E_SES_5,1.8497929573059082
470,TC_AMNT_3,1.8500174283981323
61,F_MILK_5,1.8524972200393677
548,RH_DG_LT_2,1.8565728664398193
98,F_WAT_5,1.8569451570510864
44,F_FASTFOOD_3,1.8577362298965454
602,GRADE_1,1.8591245412826538
31,F_CAFFEINE_2,1.8599134683609009
71,F_CS_7,1.861932396888733
45,F_FASTFOOD_1,1.867050051689148
217,WC_MN_M05_0,1.8677634000778198
59,F_MILK_4,1.8697338104248047
216,WC_MN_M04_9999,1.8699709177017212
434,TC_HTP_MN_1,1.872435450553894
574,INT_WK_MM_7,1.8733224868774414
584,E_S_RCRD_5,1.8741693496704102
586,E_S_RCRD_2,1.8741923570632935
537,DR_EXP_2,1.8750369548797607
539,DR_LT_1,1.8755682706832886
18,F_FRUIT_6,1.875676155090332
580,AGE_18,1.8776743412017822
545,AS_DG_YR_2,1.8779754638671875
703,SleepAvg_WK_18,1.8786417245864868
46,F_FASTFOOD_2,1.8860938549041748
478,TC_ACCESS_4,1.8862338066101074
62,F_MILK_1,1.894003987312317
598,E_RES_2,1.8945348262786865
456,TC_DAGE_11,1.895311713218689
582,AGE_12,1.9000256061553955
558,INT_WD_1,1.9021869897842407
518,TC_GHW_QT_3,1.9054204225540161
600,GRADE_5,1.9069889783859253
666,E_BORN_F_8,1.9076592922210693
121,PA_MSC_6,1.9087960720062256
531,S_CONT_M_5,1.9095104932785034
17,F_FRUIT_7,1.9103217124938965
218,WC_MN_M05_9999,1.9162251949310303
324,HW_SPGO_H_4,1.9167249202728271
426,TC_EC_MN_7,1.9180288314819336
585,E_S_RCRD_3,1.9185670614242554
42,F_SWDRINK_7,1.9197856187820435
429,TC_EC_MN_4,1.9199678897857666
60,F_MILK_3,1.9204562902450562
473,TC_AMNT_4,1.9221446514129639
118,PA_MSC_1,1.9259183406829834
589,E_SES_3,1.929132342338562
455,TC_DAGE_10,1.9337280988693237
413,TC_DAYS_7,1.9350321292877197
476,TC_ACCESS_5,1.9374558925628662
56,F_VEG_5,1.9375355243682861
58,F_MILK_2,1.9384266138076782
424,TC_EC_MN_3,1.9385732412338257
57,F_VEG_4,1.9432741403579712
587,E_S_RCRD_4,1.9472914934158325
109,PA_TOT_8,1.9493335485458374
432,TC_HTP_LT_2,1.9500327110290527
26,F_SODA_4,1.9556617736816406
219,WC_MN_M06_0,1.9562129974365234
459,TC_DAGE_9,1.964004397392273
111,PA_VIG_1,1.9640535116195679
54,F_VEG_6,1.9687138795852661
519,TC_GHW_QT_2,1.9693292379379272
41,F_SWDRINK_4,1.9697152376174927
97,F_CS_F12_12,1.9732877016067505
577,AGE_16,1.973470687866211
512,TC_GHW_H_4,1.9741383790969849
526,S_CONT_3,1.977988362312317
482,TC_QT_YR_2,1.9814282655715942
466,TC_DAGE_2,1.9892488718032837
663,E_BORN_F_3,1.9918347597122192
115,PA_VIG_6,1.9935975074768066
450,TC_FAGE_3,1.9940210580825806
452,TC_FAGE_13,1.9993003606796265
697,SleepAvg_WK_4,2.000706672668457
579,AGE_17,2.0022668838500977
38,F_SWDRINK_1,2.002271890640259
706,SleepAvg_WK_15,2.0069801807403564
369,V_TRT_7,2.007493734359741
319,HW_SPRM_H_4,2.011965751647949
453,TC_FAGE_1,2.022491931915283
36,F_CAFFEINE_7,2.022587299346924
428,TC_EC_MN_5,2.0234897136688232
529,S_CONT_M_3,2.025695562362671
53,F_VEG_3,2.032404899597168
13,F_BR_5,2.0383126735687256
51,F_VEG_2,2.044210910797119
55,F_VEG_7,2.044727325439453
220,WC_MN_M06_9999,2.0482192039489746
5,PR_BI_1,2.0487918853759766
469,TC_AMNT_5,2.0490036010742188
607,E_FM_F_1_1,2.0536818504333496
610,E_FM_SF_2_9999,2.064565420150757
605,A_FM_1,2.0686826705932617
39,F_SWDRINK_3,2.070892095565796
436,TC_HTP_MN_4,2.074570417404175
601,GRADE_6,2.079960346221924
8,F_BR_2,2.083512783050537
435,TC_HTP_MN_3,2.08520770072937
37,F_SWDRINK_2,2.0919718742370605
221,WC_MN_M07_0,2.094769239425659
25,F_SODA_1,2.1024715900421143
655,E_EDU_F_1,2.1033880710601807
0,PR_HT_4,2.1058387756347656
683,E_BORN_M_10,2.1075336933135986
9,F_BR_4,2.1085240840911865
599,GRADE_4,2.109708786010742
24,F_SODA_3,2.1162846088409424
460,TC_DAGE_8,2.127657413482666
23,F_SODA_2,2.132047176361084
596,E_RES_5,2.1337101459503174
612,E_FM_SF_2_2,2.133795738220215
672,E_EDU_M_1,2.1404976844787598
22,F_FRUIT_5,2.146569013595581
367,V_TRT_4,2.148184061050415
21,F_FRUIT_4,2.149517059326172
664,E_BORN_F_11,2.1527485847473145
15,F_BR_7,2.1542258262634277
705,SleepAvg_WK_17,2.1546123027801514
14,F_BR_3,2.1563398838043213
438,TC_HTP_MN_7,2.1648921966552734
12,F_BR_6,2.1738226413726807
394,AC_DAYS_7,2.1766018867492676
454,TC_FAGE_2,2.1775190830230713
6,PR_BI_3,2.180737257003784
474,TC_AMNT_6,2.1815807819366455
621,E_FM_GF_5_5,2.1826999187469482
3,PR_HT_2,2.1845855712890625
624,E_FM_GM_6_6,2.1959710121154785
226,WC_MN_M09_1,2.1962320804595947
704,SleepAvg_WK_11,2.2022249698638916
630,E_FM_YBS_8_8,2.202805757522583
2,PR_HT_1,2.2041096687316895
222,WC_MN_M07_9999,2.2046217918395996
440,TC_HTP_MN_5,2.213287830352783
20,F_FRUIT_1,2.213496446609497
616,E_FM_SM_4_9999,2.223390817642212
618,E_FM_SM_4_4,2.2242178916931152
368,V_TRT_5,2.2264418601989746
606,A_FM_2,2.228372097015381
560,INT_WD_MM_0,2.2294580936431885
566,INT_WK_1,2.23173451423645
405,AC_DRUNK_3,2.232222318649292
430,TC_EC_MN_6,2.235753297805786
693,SleepAvg_WK_14,2.243032932281494
627,E_FM_OBS_7_9999,2.252795457839966
49,F_FASTFOOD_7,2.254481077194214
7,PR_BI_2,2.26529860496521
458,TC_DAGE_12,2.265369415283203
625,E_FM_OBS_7_7,2.2658209800720215
511,TC_GHW_H_9999,2.2728419303894043
613,E_FM_M_3_3,2.2737090587615967
608,E_FM_F_1_8888,2.277524471282959
19,F_FRUIT_2,2.2956552505493164
16,F_FRUIT_3,2.300863265991211
637,E_LT_F_2,2.3024485111236572
10,F_BR_1,2.3063817024230957
223,WC_MN_M08_0,2.308776617050171
1,PR_HT_3,2.3152523040771484
611,E_FM_SF_2_8888,2.317021369934082
468,TC_DAGE_3,2.317986249923706
463,TC_DAGE_4,2.319873809814453
628,E_FM_YBS_8_9999,2.3276989459991455
645,E_LT_M_2,2.3376922607421875
692,SleepAvg_WK_5,2.3380162715911865
615,E_FM_M_3_9999,2.341993570327759
640,E_LT_SF_2,2.346011161804199
641,E_LT_SF_1,2.3501691818237305
