,Variables,Euclidean distance,Variables,Euclidean distance
325,,,TC_AMNT_2,1.7478526830673218
326,,,PA_VIG_4,1.7543269395828247
327,,,PA_WLK_8,1.755581021308899
328,,,PA_PE_FQ_4,1.756008505821228
329,,,PA_WLK_MM_0,1.7574050426483154
330,,,TC_EC_MN_2,1.7575310468673706
331,,,INT_WK_MM_5,1.7586023807525635
332,,,WC_MN_M03_9999,1.7608654499053955
333,,,PA_SWD_N_1,1.7644896507263184
334,,,TC_EC_LT_2,1.7646154165267944
335,,,RH_DG_YR_2,1.7687828540802002
336,,,TC_FAGE_4,1.7712016105651855
337,,,F_EDU_2,1.7732993364334106
338,,,TC_FAGE_5,1.7741005420684814
339,,,F_MILK_7,1.7743080854415894
340,,,F_WAT_4,1.7784857749938965
341,,,S_CONT_M_2,1.780362606048584
342,,,F_SODA_7,1.782214879989624
343,,,F_WAT_3,1.782224416732788
344,,,TC_DAYS_5,1.7870970964431763
345,,,F_EDU_1,1.789850115776062
346,,,INT_WD_2,1.7898545265197754
347,,,INT_WK_MM_4,1.7919257879257202
348,,,PA_TOT_3,1.792314052581787
349,,,TC_QT_YR_1,1.792565941810608
350,,,PA_TOT_4,1.7935538291931152
351,,,PA_MSC_2,1.7936617136001587
352,,,TC_GHW_H_2,1.7959389686584473
353,,,PA_VIG_3,1.7964940071105957
354,,,PA_SWD_N_0,1.7982772588729858
355,,,F_WAT_2,1.8078707456588745
356,,,INT_WK_MM_1,1.8088653087615967
357,,,S_CONT_2,1.8103493452072144
358,,,F_CAFFEINE_3,1.8110054731369019
359,,,INT_WD_MM_3,1.8110069036483765
360,,,SleepAvg_WK_3,1.8122169971466064
361,,,INT_WD_MM_1,1.815261960029602
362,,,PA_SWK_S_0,1.822323203086853
363,,,TC_GHW_H_3,1.8276475667953491
364,,,V_TRT_3,1.8311940431594849
365,,,TC_FAGE_1,1.8338230848312378
366,,,E_RES_4,1.8386741876602173
367,,,TC_EC_MN_3,1.8398442268371582
368,,,TC_EC_MN_5,1.8404781818389893
369,,,F_WAT_5,1.8405042886734009
370,,,INT_WK_MM_3,1.841445803642273
371,,,E_S_RCRD_1,1.8417555093765259
372,,,GRADE_5,1.847808837890625
373,,,TC_AMNT_3,1.8516842126846313
374,,,F_CS_F07_7,1.8528159856796265
375,,,SleepAvg_WK_13,1.8551666736602783
376,,,INT_WK_MM_2,1.8608253002166748
377,,,E_BORN_F_11,1.8613349199295044
378,,,TC_GHW_QT_3,1.8617193698883057
379,,,WC_MN_M04_9999,1.8640071153640747
380,,,TC_HTP_MN_1,1.8640241622924805
381,,,E_SES_2,1.8682351112365723
382,,,F_SWDRINK_7,1.8683886528015137
383,,,F_MILK_4,1.8685564994812012
384,,,AGE_12,1.8701694011688232
385,,,INT_WD_MM_2,1.8707432746887207
386,,,PA_VIG_2,1.8721755743026733
387,,,DR_LT_1,1.8722097873687744
388,,,S_CONT_M_5,1.873153567314148
389,,,TC_HTP_LT_2,1.8778417110443115
390,,,E_S_RCRD_5,1.878986120223999
391,,,SleepAvg_WK_12,1.882741093635559
392,,,TC_EC_MN_7,1.8835535049438477
393,,,TC_HTP_MN_2,1.8871941566467285
394,,,F_VEG_1,1.8896223306655884
395,,,TC_DAYS_7,1.8916164636611938
396,,,RH_DG_YR_9999,1.9016002416610718
397,,,F_MILK_5,1.9052650928497314
398,,,TC_ACCESS_4,1.9059118032455444
399,,,PA_TOT_1,1.9069956541061401
400,,,WC_MN_M05_9999,1.912065029144287
401,,,TC_FAGE_13,1.9179400205612183
402,,,F_CS_7,1.9190773963928223
403,,,F_FASTFOOD_1,1.9198883771896362
404,,,F_FASTFOOD_3,1.924320936203003
405,,,F_CAFFEINE_2,1.925189733505249
406,,,E_SES_3,1.9269839525222778
407,,,F_MILK_3,1.9320663213729858
408,,,F_SWDRINK_5,1.932978868484497
409,,,TC_EC_MN_4,1.9343791007995605
410,,,E_RES_2,1.9372212886810303
411,,,TC_DAGE_11,1.9389548301696777
412,,,S_CONT_3,1.9406085014343262
413,,,INT_WD_1,1.9411193132400513
414,,,HW_SPGO_H_4,1.9428422451019287
415,,,DR_EXP_2,1.9429084062576294
416,,,F_FRUIT_6,1.9435421228408813
417,,,ECZ_DG_YR_9999,1.9445724487304688
418,,,F_MILK_2,1.9448813199996948
419,,,F_FRUIT_7,1.945084571838379
420,,,F_VEG_5,1.9473992586135864
421,,,TC_GHW_QT_2,1.9497522115707397
422,,,TC_AMNT_4,1.9505478143692017
423,,,HW_SPRM_H_4,1.950838327407837
424,,,TC_HTP_MN_3,1.9528868198394775
425,,,F_CAFFEINE_1,1.954453706741333
426,,,PA_MSC_6,1.95521080493927
427,,,E_RES_3,1.956455111503601
428,,,TC_ACCESS_5,1.95781672000885
429,,,E_S_RCRD_2,1.9584131240844727
430,,,F_SODA_4,1.9669166803359985
431,,,PA_MSC_1,1.9716509580612183
432,,,F_CS_F12_12,1.976581335067749
433,,,TC_DAGE_10,1.9766721725463867
434,,,E_S_RCRD_3,1.9776697158813477
435,,,F_FASTFOOD_2,1.980893850326538
436,,,F_VEG_4,1.9865877628326416
437,,,TC_DAGE_9,1.9948172569274902
438,,,S_CONT_M_3,1.9953958988189697
439,,,TC_QT_YR_2,1.9964529275894165
440,,,F_SWDRINK_4,2.004154682159424
441,,,F_VEG_6,2.0095913410186768
442,,,F_CAFFEINE_7,2.0102994441986084
443,,,E_BORN_F_3,2.0135655403137207
444,,,SleepAvg_WK_19,2.016007423400879
445,,,PA_TOT_8,2.026608943939209
446,,,SleepAvg_WK_18,2.027017593383789
447,,,F_VEG_3,2.033442258834839
448,,,TC_AMNT_6,2.0352065563201904
449,,,F_SWDRINK_1,2.037992238998413
450,,,PA_VIG_6,2.0391132831573486
451,,,PA_VIG_1,2.041883707046509
452,,,TC_FAGE_3,2.04233717918396
453,,,F_VEG_2,2.0423507690429688
454,,,TC_AMNT_5,2.0433061122894287
455,,,SleepAvg_WK_2,2.0464799404144287
456,,,TC_HTP_MN_7,2.0534474849700928
457,,,TC_DAGE_12,2.0579452514648438
458,,,TC_HTP_MN_5,2.0757298469543457
459,,,F_BR_4,2.077697992324829
460,,,WC_MN_M06_9999,2.0809459686279297
461,,,TC_DAGE_8,2.082443952560425
462,,,TC_HTP_MN_4,2.0854110717773438
463,,,F_SWDRINK_3,2.0876898765563965
464,,,TC_EC_MN_6,2.098484754562378
465,,,F_SWDRINK_2,2.105022430419922
466,,,AC_DRUNK_3,2.1078052520751953
467,,,F_BR_2,2.1083786487579346
468,,,V_TRT_7,2.10963773727417
469,,,F_VEG_7,2.1118147373199463
470,,,F_BR_5,2.1172194480895996
471,,,PR_HT_2,2.1172335147857666
472,,,F_FASTFOOD_7,2.1274003982543945
473,,,GRADE_4,2.1359703540802
474,,,AC_DAYS_7,2.139207124710083
475,,,F_BR_7,2.1414883136749268
476,,,SleepAvg_WK_11,2.146918296813965
477,,,GRADE_6,2.1490280628204346
478,,,GRADE_1,2.151832103729248
479,,,F_SODA_2,2.154775381088257
480,,,F_SODA_3,2.1558053493499756
481,,,INT_WK_1,2.1611127853393555
482,,,WC_MN_M07_9999,2.1640546321868896
483,,,V_TRT_4,2.164316177368164
484,,,F_BR_3,2.1741139888763428
485,,,F_FRUIT_4,2.1744601726531982
486,,,PR_HT_1,2.1762242317199707
487,,,E_BORN_M_10,2.17753005027771
488,,,F_FRUIT_5,2.2169277667999268
