Factors,BMI_0,Rank_BMI_0,BMI_1,Rank_BMI_1,cosine difference
F_SODA_7,0.45167869329452515,425,0.3723480701446533,556,0.07933062314987183
F_SWDRINK_1,0.4643569588661194,400,0.4628099501132965,368,0.001547008752822876
F_SWDRINK_2,0.449653685092926,431,0.4195801913738251,463,0.030073493719100952
F_SWDRINK_3,0.43516066670417786,472,0.392076313495636,520,0.04308435320854187
F_SWDRINK_4,0.4463394284248352,439,0.39662957191467285,511,0.049709856510162354
F_SWDRINK_5,0.4569081962108612,414,0.3939041495323181,516,0.06300404667854309
F_SWDRINK_6,0.5162225961685181,292,0.4519835412502289,394,0.06423905491828918
F_SWDRINK_7,0.4289408326148987,483,0.39735832810401917,508,0.03158250451087952
F_VEG_1,0.4554104804992676,418,0.44800931215286255,404,0.007401168346405029
F_VEG_2,0.4329899847507477,479,0.40580859780311584,494,0.027181386947631836
F_VEG_3,0.44521498680114746,443,0.40984731912612915,488,0.03536766767501831
F_VEG_4,0.4569065570831299,415,0.41532522439956665,474,0.04158133268356323
F_VEG_5,0.4669300317764282,391,0.42402514815330505,454,0.04290488362312317
F_VEG_6,0.45133793354034424,426,0.42294394969940186,458,0.028393983840942383
F_VEG_7,0.41958028078079224,500,0.39125558733940125,521,0.02832469344139099
F_WAT_1,0.5433378219604492,233,0.4748035967350006,341,0.06853422522544861
F_WAT_2,0.4868987500667572,357,0.45238548517227173,393,0.034513264894485474
F_WAT_3,0.49632617831230164,333,0.47041410207748413,350,0.025912076234817505
F_WAT_4,0.48862355947494507,350,0.47347861528396606,345,0.015144944190979004
F_WAT_5,0.45184001326560974,424,0.44364359974861145,409,0.008196413516998291
GRADE_1,0.4469151198863983,438,0.41862550377845764,466,0.028289616107940674
GRADE_2,0.5473123788833618,228,0.5397461652755737,216,0.007566213607788086
GRADE_3,0.5145061016082764,300,0.5126277208328247,267,0.0018783807754516602
GRADE_4,0.3162537217140198,644,0.29806360602378845,641,0.018190115690231323
GRADE_5,0.39922064542770386,553,0.370979905128479,561,0.028240740299224854
GRADE_6,0.38884952664375305,574,0.3855593204498291,530,0.00329020619392395
HW_EDU_1,0.6902059316635132,112,0.6304160356521606,125,0.05978989601135254
HW_EDU_2,0.6632762551307678,132,0.5278224945068359,237,0.13545376062393188
HW_SPGO_H_1,0.463833212852478,402,0.3834259808063507,533,0.08040723204612732
HW_SPGO_H_2,0.49530720710754395,335,0.4448913335800171,407,0.050415873527526855
HW_SPGO_H_3,0.47304004430770874,381,0.4231758117675781,457,0.049864232540130615
HW_SPGO_H_4,0.3889754116535187,572,0.3669394850730896,566,0.022035926580429077
HW_SPML_H_1,0.6395965218544006,148,0.579126238822937,172,0.06047028303146362
HW_SPML_H_2,0.7143972516059875,90,0.6791415214538574,75,0.03525573015213013
HW_SPML_H_3,0.6845988035202026,116,0.623972475528717,129,0.060626327991485596
HW_SPML_H_4,0.4995601177215576,326,0.45074281096458435,397,0.04881730675697327
HW_SPML_S_1,0.507171630859375,316,0.47669094800949097,334,0.030480682849884033
HW_SPML_S_2,0.5854822397232056,184,0.5741010904312134,179,0.011381149291992188
HW_SPML_S_3,0.5715268850326538,194,0.5595744252204895,195,0.011952459812164307
HW_SPML_S_4,0.5555515289306641,218,0.5313398838043213,229,0.024211645126342773
HW_SPRM_H_1,0.6506857872009277,141,0.6018866300582886,152,0.04879915714263916
HW_SPRM_H_2,0.6075737476348877,164,0.5948361754417419,157,0.012737572193145752
HW_SPRM_H_3,0.5521206855773926,222,0.4907730221748352,298,0.06134766340255737
HW_SPRM_H_4,0.4168717861175537,510,0.39379391074180603,517,0.02307787537574768
HW_SPRM_S_1,0.6948851943016052,108,0.6197175979614258,133,0.07516759634017944
HW_SPRM_S_2,0.7041401267051697,98,0.6424606442451477,111,0.06167948246002197
HW_SPRM_S_3,0.6605117917060852,136,0.5614585876464844,188,0.09905320405960083
HW_SPRM_S_4,0.4919010400772095,342,0.4695582091808319,352,0.022342830896377563
HW_S_R_1,0.7661978006362915,58,0.6884900331497192,70,0.07770776748657227
HW_S_R_10,0.5692158937454224,198,0.4915812611579895,297,0.07763463258743286
HW_S_R_2,0.8219447135925293,32,0.7191987037658691,55,0.10274600982666016
HW_S_R_3,0.776121973991394,55,0.726154088973999,51,0.04996788501739502
HW_S_R_4,0.5222049355506897,281,0.49176469445228577,296,0.03044024109840393
HW_S_R_5,0.6803085803985596,119,0.6146765351295471,137,0.06563204526901245
HW_S_R_6,0.5376699566841125,242,0.5252557992935181,242,0.012414157390594482
HW_S_R_7,0.716803252696991,87,0.6486055850982666,99,0.06819766759872437
HW_S_R_8,0.6952297687530518,107,0.6440899968147278,109,0.051139771938323975
HW_S_R_9,0.6926919221878052,110,0.6074926853179932,143,0.08519923686981201
INT_WD_1,0.45724326372146606,413,0.40890663862228394,489,0.04833662509918213
INT_WD_2,0.4653043746948242,397,0.4551598131656647,386,0.010144561529159546
INT_WD_MM_0,0.4391242265701294,461,0.36547404527664185,569,0.07365018129348755
INT_WD_MM_1,0.5158352851867676,293,0.4508219063282013,396,0.06501337885856628
INT_WD_MM_2,0.4964172840118408,332,0.46731120347976685,358,0.029106080532073975
INT_WD_MM_3,0.48478299379348755,364,0.47787272930145264,330,0.006910264492034912
INT_WD_MM_4,0.4701569080352783,388,0.4830430746078491,316,0.0128861665725708
INT_WD_MM_5,0.4407045245170593,459,0.4948928654193878,291,0.05418834090232849
INT_WK_1,0.46417322754859924,401,0.42501258850097656,451,0.03916063904762268
INT_WK_2,0.5778102874755859,189,0.5788562297821045,173,0.0010459423065185547
INT_WK_MM_0,0.36089029908180237,613,0.3021845817565918,637,0.05870571732521057
INT_WK_MM_1,0.549713134765625,223,0.4527595341205597,391,0.09695360064506531
INT_WK_MM_10,0.3892837464809418,570,0.4682875871658325,357,0.07900384068489075
INT_WK_MM_2,0.5417636632919312,236,0.4667981266975403,359,0.07496553659439087
INT_WK_MM_3,0.5352094173431396,248,0.47996675968170166,325,0.05524265766143799
INT_WK_MM_4,0.5146625638008118,299,0.47453856468200684,343,0.04012399911880493
INT_WK_MM_5,0.5150554180145264,298,0.4890323281288147,302,0.02602308988571167
INT_WK_MM_6,0.4872588515281677,354,0.49588990211486816,285,0.00863105058670044
INT_WK_MM_7,0.4112302362918854,528,0.4601673483848572,376,0.0489371120929718
INT_WK_MM_8,0.42802321910858154,487,0.4809110760688782,322,0.05288785696029663
INT_WK_MM_9,0.4162425100803375,514,0.43923431634902954,419,0.022991806268692017
I_SB_BK_1,0.5767300128936768,191,0.5590579509735107,196,0.017672061920166016
I_SB_BK_2,0.6400119066238403,147,0.6024461984634399,149,0.03756570816040039
I_SB_BK_3,0.6998564600944519,104,0.6393951773643494,116,0.06046128273010254
I_SB_BK_4,0.6688873767852783,126,0.6366042494773865,118,0.032283127307891846
I_SB_BK_5,0.5714322328567505,195,0.5874823331832886,164,0.016050100326538086
I_SB_EX_1,0.7623456716537476,62,0.7272695899009705,48,0.0350760817527771
I_SB_EX_2,0.7634580135345459,61,0.7088802456855774,63,0.054577767848968506
I_SB_EX_3,0.7635818123817444,60,0.684378981590271,72,0.07920283079147339
I_SB_EX_4,0.7280250787734985,81,0.6523528099060059,94,0.07567226886749268
I_SB_EX_5,0.6245447397232056,157,0.64207923412323,113,0.017534494400024414
I_SB_FR_1,0.7282754182815552,80,0.7035969495773315,65,0.024678468704223633
